Timestamp,total_connections,sum_syn_ack_rst_flags,unique_dest_ports,avg_bytes_per_sec,avg_packets_per_sec,avg_iat_mean,avg_iat_variance,attack_fraction,dominant_attack_type,pkt_ttl_variance,pkt_tcp_window_avg,pkt_ip_frag_fraction,pkt_payload_mean,pkt_payload_std,pkt_retrans_count,pkt_portscan_delta_std,source_file
2017-07-03 01:01:50,1,0,1,601307.1895424837,26143.7908496732,1.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,41.0,29.698484809834994,1,0.0,File_10
2017-07-03 01:03:40,1,0,1,1675324.6753246754,25974.02597402597,3.0,0.0,0.0,BENIGN,0.0,0.0,0.0,35.0,11.313708498984761,1,0.0,File_10
2017-07-03 01:04:50,2,0,1,776844.070961718,24976.657329598507,2.0,0.0,0.0,BENIGN,1365.3333333333333,0.0,0.0,42.0,35.59026084010437,2,12021.286684692099,File_10
2017-07-03 01:06:40,3,0,1,1254826.431333645,17818.747381295252,3.0,0.0,0.0,BENIGN,0.0,0.0,0.0,78.33333333333333,90.43376950380133,3,24201.87923777821,File_10
2017-07-03 01:07:30,1,0,1,1414.1293769488968,23.833641184531967,30713.0,2829220171.0000005,0.0,BENIGN,0.0,0.0,0.0,77.66666666666667,73.90083445627211,2,32062.0,File_10
2017-07-03 01:07:40,2,0,1,182871.93037379172,2272.5292524265838,3.5,0.0,0.0,BENIGN,0.0,0.0,0.0,61.25,48.616698091636515,2,28296.47669862019,File_10
2017-07-03 01:10:20,1,0,1,1092592.5925925926,18518.51851851852,46.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,76.0,82.02438661763951,1,0.0,File_10
2017-07-03 01:15:10,1,0,1,1467625.8992805756,28776.97841726619,3.0,0.0,0.0,BENIGN,0.0,0.0,0.0,108.0,90.50966799187809,1,0.0,File_10
2017-07-03 01:15:30,1,0,1,4525.777253049981,65.59097468188378,4.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,62.0,56.568542494923804,1,0.0,File_10
2017-07-03 01:16:50,1,0,1,601307.1895424837,26143.7908496732,1.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,57.0,48.08326112068523,1,0.0,File_10
2017-07-03 01:17:50,1,0,1,874316.9398907104,21857.92349726776,3.0,0.0,0.0,BENIGN,0.0,0.0,0.0,47.0,26.870057685088806,1,0.0,File_10
2017-07-03 01:19:50,1,0,1,621621.6216216217,27027.027027027027,1.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,106.5,125.15790027001891,1,0.0,File_10
2017-07-03 01:21:00,1,0,1,8029.825064525379,127.45754070675206,1.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,70.0,67.88225099390856,1,0.0,File_10
2017-07-03 01:21:10,3,0,1,1296501.7810401728,16013.683865577195,3.0,0.0,0.0,BENIGN,0.0,0.0,0.0,83.33333333333333,88.21262192377385,3,29235.820964016042,File_10
2017-07-03 01:22:00,1,0,1,10729.546801409811,124.76217210941644,3.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,89.5,84.14570696119915,1,0.0,File_10
2017-07-03 01:23:40,1,0,1,12938.525909237203,128.7415513356936,3.0,0.0,0.0,BENIGN,0.0,0.0,0.0,120.0,90.50966799187809,1,0.0,File_10
2017-07-03 01:25:00,1,0,1,8139.937651541392,115.46010853250202,2.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,37.5,26.16295090390226,1,0.0,File_10
2017-07-03 01:25:30,1,0,1,935483.870967742,16129.032258064515,48.0,0.0,0.0,BENIGN,0.0,0.0,0.0,62.333333333333336,64.66323014923809,2,0.0,File_10
2017-07-03 01:26:30,1,0,1,12144.765606023804,145.73718727228564,8325.333333333332,207783696.3333334,0.0,BENIGN,0.0,0.0,0.0,36.0,11.313708498984761,1,0.0,File_10
2017-07-03 01:26:40,1,0,1,1540540.5405405406,27027.027027027027,4.0,0.0,0.0,BENIGN,0.0,0.0,0.0,44.0,19.79898987322333,1,0.0,File_10
2017-07-03 01:26:50,2,0,1,1109884.9067599068,24402.680652680647,26.5,0.0,0.0,BENIGN,0.0,0.0,0.0,37.5,9.39858145324779,2,1874.775779185933,File_10
2017-07-03 01:27:00,3,0,1,10833.913584700445,100.33036722902983,18.666666666666668,0.0,0.0,BENIGN,0.0,0.0,0.0,56.285714285714285,41.90351729753437,4,26532.41168468399,File_10
2017-07-03 01:28:30,4,0,1,272077.27266520035,6571.995622934409,8651.75,305758546.5,0.0,BENIGN,0.0,0.0,0.0,45.18181818181818,27.741010009796618,7,26066.026921071036,File_10
2017-07-03 01:29:10,1,0,1,1319327.731092437,16806.72268907563,1.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,75.5,75.66042558696059,1,0.0,File_10
2017-07-03 01:29:30,1,0,1,2069651.7412935323,19900.49751243781,4.0,0.0,0.0,BENIGN,0.0,0.0,0.0,41.0,34.64101615137755,2,26385.0,File_10
2017-07-03 01:30:30,3,0,1,534549.5924712482,6936.155510835455,1.3333333333333333,0.0,0.0,BENIGN,975.2380952380954,0.0,0.0,45.857142857142854,35.1588233185193,4,21355.508545806162,File_10
2017-07-03 01:30:40,2,0,1,531459.2631522054,12040.064292386998,2.5,0.0,0.0,BENIGN,0.0,0.0,0.0,47.75,22.246722605064026,2,1810.1933598375617,File_10
2017-07-03 01:31:30,1,0,1,1132947.9768786128,23121.387283237,3.0,0.0,0.0,BENIGN,0.0,0.0,0.0,37.0,11.313708498984761,1,0.0,File_10
2017-07-03 01:31:50,2,0,1,1620430.9656823622,25458.898643256187,3.0,0.0,0.0,BENIGN,0.0,0.0,0.0,42.6,14.976648490233053,3,23452.514826506347,File_10
2017-07-03 01:32:20,1,0,1,1591078.0669144983,14869.888475836431,1.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,79.0,70.71067811865476,1,0.0,File_10
2017-07-03 01:32:30,3,0,1,8168.527874547796,104.82443050670531,5.0,0.0,0.0,BENIGN,1228.8,0.0,0.0,53.833333333333336,42.29144909632048,3,21873.849290876995,File_10
2017-07-03 01:33:30,3,0,1,483599.4203195897,5964.001718129678,80.66666666666667,0.0,0.0,BENIGN,1228.8,0.0,0.0,46.666666666666664,27.565679143940326,3,13085.090058536089,File_10
2017-07-03 01:34:00,1,0,1,4932.542908556135,36.53735487819359,4.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,47.0,36.76955262170047,1,0.0,File_10
2017-07-03 01:34:30,1,0,1,877005.3475935829,21390.374331550804,48.0,0.0,0.0,BENIGN,0.0,0.0,0.0,43.333333333333336,30.02221399786054,2,25276.5,File_10
2017-07-03 01:34:40,2,0,1,1548872.1804511277,28195.48872180451,3.5,0.0,0.0,BENIGN,0.0,0.0,0.0,108.75,108.73630181927898,2,26727.24323399046,File_10
2017-07-03 01:35:00,1,0,1,1210256.4102564105,20512.82051282051,48.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,52.0,42.42640687119285,1,0.0,File_10
2017-07-03 01:35:10,1,0,1,1410071.9424460432,28776.97841726619,4.0,0.0,0.0,BENIGN,0.0,0.0,0.0,45.0,11.313708498984761,1,0.0,File_10
2017-07-03 01:35:20,1,0,1,921052.6315789472,13157.894736842103,1.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,33.0,22.627416997969522,1,0.0,File_10
2017-07-03 01:36:50,1,0,1,5078.37296743005,65.1073457362827,3.0,0.0,0.0,BENIGN,2048.0,0.0,0.0,130.5,147.78531726798843,1,0.0,File_10
