Timestamp,packet_count,pkt_ttl_variance,pkt_tcp_window_avg,pkt_ip_frag_fraction,pkt_payload_mean,pkt_payload_std,pkt_retrans_count,pkt_rst_count,pkt_portscan_delta_std,dominant_attack_type,attack_fraction
2017-07-03 01:01:50,2,2048.0,0.0,0.0,41.0,29.698484809834994,1,0,0.0,BENIGN,0.0
2017-07-03 01:03:40,4,0.0,0.0,0.0,35.0,9.237604307034012,2,0,4149.302592002661,BENIGN,0.0
2017-07-03 01:05:30,2,2048.0,0.0,0.0,57.0,38.18376618407357,1,0,0.0,BENIGN,0.0
2017-07-03 01:06:40,4,0.0,0.0,0.0,80.75,74.84817967058385,2,0,488.84648806029986,BENIGN,0.0
2017-07-03 01:07:30,6,0.0,0.0,0.0,63.833333333333336,57.922074088094135,4,0,23917.94311390509,BENIGN,0.0
2017-07-03 01:07:40,4,0.0,0.0,0.0,69.75,49.26374596665043,2,0,25207.611738432413,BENIGN,0.0
2017-07-03 01:09:50,2,2048.0,0.0,0.0,49.0,18.384776310850235,1,0,0.0,BENIGN,0.0
2017-07-03 01:15:30,2,2048.0,0.0,0.0,62.0,56.568542494923804,1,0,0.0,BENIGN,0.0
2017-07-03 01:15:40,4,0.0,0.0,0.0,34.0,11.547005383792516,2,0,1686.2139708695204,BENIGN,0.0
2017-07-03 01:19:50,2,2048.0,0.0,0.0,106.5,125.15790027001891,1,0,0.0,BENIGN,0.0
2017-07-03 01:21:00,2,2048.0,0.0,0.0,70.0,67.88225099390856,1,0,0.0,BENIGN,0.0
2017-07-03 01:21:10,4,0.0,0.0,0.0,93.5,109.69503179269333,2,0,28944.00604615747,BENIGN,0.0
2017-07-03 01:21:20,2,0.0,0.0,0.0,68.0,41.012193308819754,1,0,0.0,BENIGN,0.0
2017-07-03 01:22:50,11,0.0,0.0,0.0,56.90909090909091,51.21221445212957,6,0,17396.18845868255,BENIGN,0.0
2017-07-03 01:23:40,2,0.0,0.0,0.0,120.0,90.50966799187809,1,0,0.0,BENIGN,0.0
2017-07-03 01:24:10,2,0.0,0.0,0.0,27.0,11.313708498984761,1,0,0.0,BENIGN,0.0
2017-07-03 01:24:50,2,2048.0,0.0,0.0,60.5,36.062445840513924,1,0,0.0,BENIGN,0.0
2017-07-03 01:26:30,11,0.0,0.0,0.0,43.72727272727273,35.460092806113494,6,0,25217.290834068594,BENIGN,0.0
2017-07-03 01:26:40,2,0.0,0.0,0.0,44.0,19.79898987322333,1,0,0.0,BENIGN,0.0
2017-07-03 01:26:50,4,0.0,0.0,0.0,37.5,9.39858145324779,2,0,1874.775779185933,BENIGN,0.0
